logFC,term,genes,source
8.94335862073595,Hinfp,Sertad3;Egln2;Cacna2d3;Txndc5;Plod2;Fads3;Nln;Senp8;Shisa9;Phgdh;Ctnna1;Sel1l3;Zyx;Nfkbiz;Tmem86a;Nfasc;Arhgap21;S100a6;Ezr;Trim8;Marcks;Pla2g7;Slc30a1;Rcn2;Cyc1;Rsad2;Sun2;Tns2;Myl12a;Samd14;Gprc5b;Cdc42ep1;Fam129b;Amotl2;Rgl1;Akap2;P4ha1;Gpx3;Bcl3;Frem2;Rida;Asxl1;Psat1;Gnai2;Chchd3;Ccnd2;Sbno2;Cnr1;Capn2;Nudt4;Tceal3;Itih5;Kcna1;A4galt;Tspan3;Mbnl2;Hr;Tpi1;Macf1;Plekhm2;Mxra7;Abl1;Junb;Dctd;Atl2;Psd2;Myo1c;Ralgds;Irf7;Steap4;Iqsec1;Coro1c;Camk2n1;Tmem140;Chst2;Kcnc3;Gbp2;Stxbp5l;Btbd3;C1ql1;Hey2;Ndufb10;Hspb6;Anapc4;Enoph1;E2f5;Slc1a4;Plxnd1;Commd10;Txndc15;Psmb8;Ppp1r1b;Calr;Cdc37l1;Zbtb16;Tgm2;Ptn;Fabp7;Tpt1;Bag1;Dbi;Ptprd;Susd4;Mvp;Ak4;Rhof;Slc6a8;Sorbs1;Spp1;Urb1;Tspan4;Arhgap5;Tnk2;Aspg;Tmem9;Hip1;Ctnna2;Flot1;Erp29;Rarg;Cic;Wfs1;Polr3h;Slc5a3;Irf1;Pmp2;Haghl;Rdh5;Retreg2;Prkcd;Triobp;Fads2;Tspyl2;Mdk;Maff;Farp1;Adcyap1r1;Sirpa,JASPAR-TRANSFAC
4.64411515716393,Irf7,Irgm1;Ifit3;Psmb10;Cxcl10;Ifitm3;Ifit2;Irf9;Zc3hav1;Igtp;Cmpk2;Atf4;Ifi47;Gbp5;Stat1;Irf1;Xaf1;Bcl2l1;Rtp4;Mcl1;Psmb8;Rsad2;Oasl2;Usp18;Irf7,IPA
4.59355025649866,Junb,Junb;Timp3;Fbln5;Lcn2;Fth1;Bcl3;Pnpla2;Col1a1;Timp1;Lpar1,IPA
3.91570699640068,Asxl1,Kansl3;H2-d1;Myo18a;Ctdsp2;Fads3;Prdx2;Nln;Fth1;Flot1;Slc39a10;Rfx3;Eef1a1;Hinfp;Nudt4;H2-q4;Tm9sf3;Neat1;Rnf7;Trim8;Cuedc2;Psmb8;Calr;Junb;Parp3;S1pr1;Cdc37l1;Kpna3;Mob4;Pigs,Chea
3.65005303809689,Cebpd,Cttn;Tmem176b;Txndc5;Cdo1;Mtx1;Hdac2;Spen;Ctdsp2;Fgfr1;Akap13;Slc25a5;Zyx;Rras;Fth1;Slc39a14;Fnbp1l;Rfx3;Cd34;Arhgap21;Tnr;S100a6;Arpc1b;Exd2;Trim8;Marcks;Mpz;Pla2g7;Eif4g1;Lrig1;Lrrc8a;Rcn2;Fkbp5;Atp6v1a;Dlg5;Sgce;Gadd45b;Asna1;Tns2;Adamts1;Rgl1;Lamc1;Tst;Ifi204;Pltp;Kank1;Ifit3;Brd2;Echdc3;Emg1;Vldlr;Txndc16;Tmx2;Cyr61;Frem2;Dhrs7;Prkag2;Hjurp;Chchd3;Mylk;Ccnd2;Tbc1d9b;Fus;Capn2;Mgat3;Vim;Fbln5;Mat2a;Negr1;Hap1;Qk;Scd1;Mbnl2;Agpat1;Bcl2l1;Mapk3;Wls;Tpi1;Sdc2;Pnpla2;Pros1;Abl1;Etl4;Cdkn1a;Enpp2;Insig1;Atl2;Irak3;Dusp4;Tmc7;Kpna3;Sfxn1;Gnb5;Rph3a;Fnta;Atp5g1;Iqsec1;Mia2;Sfxn5;Zfp503;Gbp2;Slc43a3;Fkbp9;Btbd3;Tinagl1;Ampd3;Slc14a2;Larp1b;Nit1;Capg;Vdac2;Lgals1;Ntm;Ank;Xaf1;Zfp703;Cops6;Psmb8;Tmed2;Cdc37l1;Mtch1;Atoh8;Col5a3;Socs3;Zbtb16;Apip;Tgm2;Znfx1;Pnpo;Ptn;Fabp7;Ctsl;Gpd1;Tpt1;Ptgr2;Nf2;Ppard;Tnfaip6;Chid1;Rhof;Mfhas1;Srr;Eif3f;Sorbs1;Gfra1;Cxcl12;Spp1;Tspan4;Timp3;Arl6ip1;Tmem135;Ergic1;Sat1;Fam126a;Stat3;Reep3;Hlf;Ggta1;Gas5;Neat1;Gt(rosa)26sor;Cuedc2;Vgll3;Paqr6;Usp24;Osmr;Ptp4a2;Triobp;Spry2;Tuba4a;Gap43;Reep1;Sgpp1;Adcyap1r1;Cp;Fam107a,Chea;JASPAR-TRANSFAC
3.0160049342959603,Bcl3,Srr;Ywhae;Them4;Eif3f;Laptm4a;Dbp;Map1lc3b;Cyr61;Spen;Tmem9;Carhsp1;Hjurp;Fth1;Ndufb10;Anxa7;Ergic3;Ndufa13;Fus;Hinfp;Erp29;Ddost;Osgep;Negr1;Mat2a;Gas5;Neat1;Arl5c;Marcks;Hr;Pfkl;Lrrc8a;D8ertd738e;Cherp;Retreg2;Spcs2;Cox5a;Spry2;Dusp4;Rpl41;Tspyl2;Apip;Fkbp3;Ptgr2;Lamc1;Lrrc59;Rph3a,Chea
1.8066570150655,Irf9,Ifit3;Stat1;Ifitm3;Cxcl10;Irf1;Socs3;Ifit2;Irf7,IPA
1.73221570133418,Tle1,Mcl1;Fos;Nupr1,IPA
1.5896519601641002,Rarg,Cttn;Rhof;Echdc3;Timp3;Thrsp;Nupr1;Rras;Fth1;Ndufb10;Cyp2d22;Sat1;Pick1;Col1a1;Lrp1;Sqstm1;Rarg;Clcf1;Polr3h;Rhobtb3;Agpat1;Ifrd1;Tnfrsf12a;Capn5;Calr;Junb;Tns2;Cp;Parp3;Dusp4;Metrn;Dnm1;Midn;Lamc1;Gabarapl1,Chea
1.47192898027774,Zbtb16,Cxcl10;Zbtb16;Nfkbiz;Eif2ak2;Spp1;Tmem176b;Col1a1;Cd34;Rarg;Cdkn1a;Cd14,IPA
1.4040314835772902,Ppard,Ndst1;Map1lc3b;Etfb;Trim9;Ypel3;Ctdsp2;Plod2;Fgfr1;Senp8;Phgdh;Ctnna1;Carhsp1;Fth1;Lxn;Cldn10;Nfkbiz;Col1a1;Ddost;S100a6;Slc13a3;Ucp2;Trim8;Ahnak;Marcks;Lrrc8a;Olfml3;Tnfrsf12a;Dlg5;Asna1;Gadd45b;Adi1;Cdc42ep1;Fam129b;Amotl2;Akap2;Gpm6a;Clip3;Pltp;Kank1;Icam1;Emg1;Fbxo31;Vldlr;Glipr2;Cyr61;Prkag2;Prdx2;Rida;Cebpd;Psat1;Gnai2;Mylk;Irf9;Capn2;Ahcyl1;Nr1h2;Tspan31;Negr1;Vim;Fbln5;Apoh;Mbnl2;Gja1;Mtmr3;Mxra7;Abl1;Cdkn1a;Clec3b;Insig1;Fos;Slc7a10;Amigo2;Endou;Ralgds;Sfxn1;Gnb5;Efr3b;Tmem140;Cd109;Myo18a;Taldo1;Myo6;Slc43a3;Tinagl1;Slc25a18;Hey2;Slc14a2;Ccnh;Tnfrsf1a;Eif2ak2;Mbp;Zbtb42;Camta1;Plxnd1;Lgals1;Efhd1;Igfbp4;Ntm;Txndc15;Cops6;Col4a2;Rnf10;Agpat5;Snx5;Tmed2;Ndufv2;Synpo;Atoh8;Socs3;Tgm2;Angptl4;Dbi;Ptprd;Sv2b;Ppard;Itm2c;Rhof;Gfra1;Gng12;Cxcl12;Mrpl41;Tspan4;Pllp;Dhcr7;Smox;Map7d1;Tmem135;Eef2k;Ergic1;Ifit2;Fam126a;Sqstm1;Reep3;Fez1;Neat1;Cstf2t;Vgll3;Ifrd1;Slc44a1;Rdh5;Usp24;Slc39a1;Ptp4a2;Spry2;S1pr1;Fads2;Reep1;Ndufc2;Steap3;Farp1;Sirpa;Cp;Eif3f,Chea
0.812904016463777,Fus,Atl2;Spry2;Tmem135;Brd2;Mat2a;Apip;Gng12;Cyr61;Gja1;Fam126a;Usp24;Eef1a1;Hmgn1;Hdac2;Eif4g3,Chea
-0.654582415622124,Calr,Cttn;Calm1;Icam1;Gja1;Col1a1;Cdkn1a,IPA
-0.890405658506843,Vhl,Atf4;Vim;Rhof;Ifitm3;Fth1;Bcl2l1;Cxcl12;Ahcyl1;Nrep;Gpx1;Cdkn1a,IPA
-1.37639440518801,Ccnh,Ccnh;Ucp2;Msx1;Cdkn1a,IPA
